,index,word,sum_prob
266,2494,lyreur,2.8056696177329057
267,2499,robinetier,2.8063938331591833
268,2509,badinant,2.852373207245841
269,2527,darwinien,2.957045040173004
270,2531,fédéraliste,2.8165227585602204
271,2549,hugolâtre,2.9262478895705333
272,2570,saunière,2.90165983426677
273,2573,alogique,2.8556143901732947
274,2586,vulgaire,2.960097228568129
275,2590,finitiste,2.819057201926281
276,2592,surgé,2.8408775019290307
277,2593,peau-rouge,2.901507133678102
278,2601,futurologue,2.9873537270582635
279,2619,demi,2.8651011704653335
280,2622,matamore,2.8582761992354686
281,2627,soufreur,2.94345723441437
282,2634,rabbiniste,2.983029328691659
283,2636,déraillard,2.8314320390279675
284,2646,atonaliste,2.9558003142753932
285,2651,jacqueteur,2.9526754502810624
286,2653,quattrocentiste,2.955718848358986
287,2664,banquiste,2.9755336999107773
288,2665,lilliputien,2.885619627697646
289,2679,antéchrist,2.9082812530121114
290,2688,cardeur,2.8427507449593263
291,2689,mateur,2.980577380487233
292,2694,stalinien,2.957814591492614
293,2695,pindariste,2.9396447497159612
294,2716,ravaleur,2.813581687107061
295,2727,mioche,2.895058560884244
296,2729,soûl,2.969423170634823
297,2735,hiérophante,2.8799736274892114
298,2738,chicard,2.9281391414442006
299,2745,multipropriétaire,2.843342659953504
300,2768,simili-jockey,2.80038248492462
301,2782,servante,2.911267834973469
302,2784,strideur,2.947257522719422
303,2803,sélénographe,2.9650761524303944
304,2829,tératologiste,2.981524374706781
305,2830,faribole,2.8249710157054695
306,2835,prononciateur,2.9698206031573084
307,2843,arquebusier,2.963217693655692
308,2846,avorton,2.880197016637892
309,2849,hasteur,2.9587260056402163
310,2850,vacuiste,2.9883619691006444
311,2853,accrocheur,2.9529057241216683
312,2857,non-interventionniste,2.9139010113261974
313,2869,bockeur,2.9497137783987433
314,2880,ferron,2.801267432623842
315,2893,paveur,2.9638579420181825
316,2898,stathoudérien,2.868858095079168
317,2908,brillant,2.8481288420715063
318,2959,menchevik,2.945804198680927
319,2963,chaussetier,2.9583240656213534
320,2964,avivé,2.9211263483843117
321,2969,bicêtrien,2.8113024304511804
322,2977,oedipien,2.951965016131541
323,2986,escorteur,2.950193327856353
324,3012,bouffoniste,2.9859355841693036
325,3021,policeman,2.8707923311905694
326,3040,drille,2.8756302800229965
327,3044,systématicien,2.9757268332631828
328,3065,cent-garde,2.973509007485569
329,3072,abessif,2.9062109250294563
330,3074,catisseur,2.950123905688666
331,3091,misérabiliste,2.9819990565189083
332,3099,inflationniste,2.8478873197254018
333,3101,légumier,2.8133852932437455
334,3105,sous-ministre,2.9631163090042896
335,3111,symphoniste,2.981981421034801
336,3124,pythagoricien,2.9569469907711547
337,3126,trufficulteur,2.9523112499356783
338,3131,ménétrier,2.821719736676566
339,3137,arrêtiste,2.9758546902291676
340,3138,atticiste,2.982980948222232
341,3144,connétablie,2.959310457755007
342,3153,naïade,2.8144258537690656
343,3154,greluchon,2.852459209527423
344,3169,zwanze,2.8055124694969655
345,3189,superpréfet,2.9786003569017123
346,3195,jaque,2.825371431857269
347,3208,belle-doche,2.8825423374791983
348,3214,orthodontiste,2.911188170519847
349,3219,ardent,2.983712804939488
350,3222,activiste,2.9924690262632776
351,3232,exarque,2.889719721023467
352,3237,déteint,2.929920686470756
353,3245,garçonne,2.9552096242820913
354,3249,laineur,2.9311841884864727
355,3251,nosographe,2.974350194218921
356,3258,radioélectricien,2.916107813686658
357,3261,madragueur,2.9319856110809317
358,3270,bollandiste,2.9821902641827207
359,3331,bossu,2.9236786194706053
360,3339,localier,2.9065727290708643
361,3357,zwinglien,2.85601133600013
362,3378,populationniste,2.9790363669490674
363,3380,agoniste,2.961562085954381
364,3403,lamarckiste,2.903507547080096
365,3428,cossard,2.894023318788887
366,3443,luminariste,2.9404784743660195
367,3481,rampiste,2.963560109202986
368,3499,graphologue,2.973204293118134
369,3508,frérâtre,2.875872550043227
370,3531,néo-pythagoricien,2.8652209272204585
371,3542,cafetier,2.9695122110399192
372,3545,muséographe,2.991357491022913
373,3562,acteureau,2.9757419958312106
374,3566,télesthésique,2.857561761990953
375,3593,bravache,2.9655220503641844
376,3608,rosiériste,2.912834190498414
377,3626,balochard,2.8682207292772253
378,3635,balourdise,2.8754588397788723
379,3637,psychophysiologiste,2.8900013443897414
380,3638,sénatorien,2.9844105177502587
381,3640,apocrisiaire,2.966441802639401
382,3645,sommiste,2.986657093911974
383,3646,zoroastrien,2.9376234056003403
384,3652,tectrice,2.8067947065268077
385,3655,argenteur,2.9105795683969173
386,3664,transformiste,2.9771245539448215
387,3683,goinfrerie,2.844562729811491
388,3687,goupillonneur,2.845702273278485
389,3698,digeste,2.8510340097058817
390,3700,remblayeur,2.964289845137286
391,3703,bouddhiste,2.944975269737332
392,3715,virologiste,2.97005086202072
393,3726,monadologiste,2.985459680950026
394,3728,discophile,2.971178123685224
395,3730,démiurge,2.9709517097528972
396,3731,pointilliste,2.9410855437078998
397,3756,exempt,2.8742619462515915
398,3762,agenais,2.967091044222007
399,3766,îlotier,2.9668875507795898
400,3777,grondin,2.879178812241796
401,3787,psychonévrosé,2.844526701169933
402,3788,trognard,2.923799371815542
403,3807,banal,2.9405707519257973
404,3817,mauser,2.882312598935343
405,3819,vidangeur,2.983244632157848
406,3822,finisseur,2.9551924575419464
407,3827,moniste,2.9815340233458283
408,3832,mythographe,2.964228027265098
409,3838,sociométriste,2.9475490870266574
410,3840,historiologue,2.9533010528524213
411,3844,gériatrique,2.8810013244542647
412,3866,déployé,2.8535016151683954
413,3869,papiste,2.9667532057338057
414,3870,traitant,2.834807582653443
415,3873,saltateur,2.9443104332441763
416,3884,neurophysiologiste,2.9792676476612794
417,3888,vautre,2.8135562617177614
418,3891,revuiste,2.9830198191792046
419,3896,miniaturiste,2.96099980143279
420,3907,frotté,2.9512714203588026
421,3909,buccinateur,2.8071273180649734
422,3928,protospathaire,2.8831453300036998
423,3929,rudiste,2.92464928073933
424,3937,sémanticien,2.990115680325458
425,3942,algologiste,2.9601485443845297
426,3944,cynégétique,2.880633344618602
427,3953,tritureuse,2.8600820898752204
428,3954,néantiste,2.9239340877716193
429,3970,sorbonnard,2.960598649412399
430,3971,ossète,2.8760083240788
431,3979,psycho-biologiste,2.8926203492233435
432,3997,dissertateur,2.9755655180781195
433,4002,machiavélien,2.9561902265821387
434,4006,fourbisseur,2.9744133721153316
435,4048,oratorien,2.977316645095601
436,4065,athlétique,2.9359845969031158
437,4068,légiste,2.980091912555025
438,4069,questeur,2.9827870436733996
439,4080,rouennier,2.8463837259313585
440,4084,picador,2.900343804496328
441,4110,transitaire,2.9201732689055016
442,4113,moufletier,2.818177118046348
443,4118,têtu,2.9764379057936896
444,4120,antillais,2.890344918090006
445,4124,môme,2.948880870339491
446,4138,sergent-infirmier,2.943635912648144
447,4143,vêtu,2.959348174861365
448,4146,maurrassien,2.989125652405097
449,4172,nazi,2.9799614831064445
450,4187,sopraniste,2.9828384486455928
451,4209,grumeau,2.8106149074213773
452,4250,naufetier,2.975868672952405
453,4253,agrégatif,2.950821184430641
454,4257,goutté,2.8244334418394152
455,4270,chevrillard,2.8758463277826416
456,4273,sous-maître,2.914833902377768
457,4275,reperceur,2.9622222823485123
458,4288,technocrate,2.984746930477658
459,4293,antipodiste,2.9763848860345345
460,4320,légumiste,2.9179120266191445
461,4354,gnard,2.9405012528364054
462,4389,bourriquier,2.8716560872041503
463,4408,probabiliste,2.9521184601951678
464,4437,libraire-éditeur,2.9772907645371176
465,4444,postiche,2.848624919247159
466,4448,trusquin,2.8516634310125557
467,4457,seiziémiste,2.957839465610821
468,4481,téléaste,2.916414913941663
469,4487,serriste,2.9398084438481136
470,4532,sécentiste,2.814818975845708
471,4536,maraîchin,2.9410071372692443
472,4554,polygéniste,2.926232996976875
473,4568,hebdomadier,2.8160330584216475
474,4587,affûteur,2.9173006365511283
475,4596,planiste,2.974886821685415
476,4597,franciscain,2.9333955622373367
477,4598,feinteur,2.970903893064513
478,4622,mendéliste,2.937300764789487
479,4635,clubiste,2.991644189050198
480,4644,métapsychique,2.8166397163267076
481,4655,occidentaliste,2.9851389081904585
482,4659,sermonnaire,2.959398622063841
483,4666,anti-politique,2.96849380154048
484,4670,condisciple,2.960540335383152
485,4685,approuvé,2.807072035552777
486,4702,princesse,2.8611552315782527
487,4735,féticheur,2.973190813403076
488,4760,passionniste,2.988665721878019
489,4769,rocailleur,2.87729359476806
490,4771,primerain,2.858517580879721
491,4775,informé,2.9700780268414233
492,4782,échotier,2.9735390355140767
493,4783,onusien,2.9362011106408215
494,4809,testateur,2.9692230810639426
495,4812,malfrat,2.955994975805141
496,4815,marneur,2.8539031857417125
